"","Total"
"writing",329
"studies",154
"media",144
"rhetoric",135
"composition",133
"english",112
"students",105
"communication",103
"digital",84
"university",79
"visual",69
"wac",67
"technical",65
"college",55
"study",46
"teaching",46
"courses",44
"information",44
"literature",44
"theory",40
"waw",38
"technology",36
"academic",35
"downs",35
"research",34
"audience",32
"disciplines",32
"language",31
"major",31
"rhetorical",31
"curriculum",30
"ideas",30
"programs",30
"work",30
"-year",30
"online",29
"write",29
"universities",28
"field",27
"scholars",27
"writer",27
"learning",26
"education",25
"wardle",25
"texts",24
"history",23
"social",23
"style",23
"images",22
"including",22
