"","Total"
"the",957
"and",738
"writing",253
"that",175
"for",169
"media",116
"composition",108
"with",99
"rhetoric",98
"english",94
"studies",94
"===",88
"students",86
"are",82
"digital",81
"communication",72
"this",71
"their",70
"visual",65
"technical",64
"university",63
"can",61
"which",61
"wac",60
"they",59
"not",57
"from",56
"about",53
"also",53
"other",51
"college",48
"more",47
"has",46
"how",45
"new",42
"study",42
"such",42
"have",40
"information",37
"its",37
"courses",34
"academic",33
"but",33
"waw",33
"literature",31
"was",31
"writing,",31
"across",30
"first",30
"into",30
